Basisschool advies,Voorkeur 1,Voorkeur 2,Voorkeur 3,Voorkeur 4,Voorkeur 5,Voorkeur 6,Voorkeur 7,Voorkeur 8,Voorkeur 9,Voorkeur 10,Voorkeur 11,Voorkeur 12,Voorkeur 13,Voorkeur 14,Voorkeur 15,Voorkeur 16,Voorkeur 17,Voorkeur 18,Voorkeur 19,Voorkeur 20,Voorkeur 21,Voorkeur 22
vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Clusius College - v.a. vmbo-b,Berlage Lyceum - Kansrijk VWO - Tweetalig - havo/vwo,Calandlyceum - havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Montessori Lyceum Amsterdam - vwo,IVKO - DAMU - v.a. vmbo-t,Lumion - vwo,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,CSB - Kansrijk VWO - havo/vwo,College De Meer - v.a. vmbo-t,Vox College - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Wellantcollege Sloten - v.a. vmbo-b,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,Calandlyceum - Kansrijk VWO - havo/vwo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Clusius College - v.a. vmbo-b,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Berlage Lyceum - Tweetalig - vwo,Hervormd Lyceum Zuid - vwo,Spinoza20first - v.a. vmbo-t,IVKO - Kansrijk HAVO - vmbo-t/havo,College De Meer - v.a. vmbo-t,Montessori Lyceum Oostpoort - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Hyperion Lyceum - vwo,Bredero Mavo - Tweetalig - v.a. vmbo-t,Vox College - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Xplore - v.a. vmbo-t,Lumion - v.a. havo,Panta Rhei - v.a. vmbo-b,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Geert Groote College - v.a. vmbo-t,Cburg College - Kansrijk Kader - vmbo-b/k,Spinoza Lyceum - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Metis Montessori Lyceum - Technasium vwo - vwo,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,Huygens College - v.a. vmbo-b,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Bindelmeer College - v.a. vmbo-b,Montessori Lyceum Amsterdam - Gymnasium - vwo,Wellantcollege Linnaeus - v.a. vmbo-b,CSB - v.a. vmbo-t,Hervormd Lyceum Zuid - v.a. havo,Spinoza Lyceum - Gymnasium - vwo,College De Meer - v.a. vmbo-t,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Hervormd Lyceum West - Tweetalig - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Alasca - vwo,Mediacollege Amsterdam - Kansrijk Kader - vmbo-b/k,Marcanti College - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - vmbo-k,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Lumion - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Fons Vitae Lyceum - vwo,Gerrit van der Veen College - v.a. havo,Bindelmeer College - v.a. vmbo-b,Vox College - v.a. vmbo-b,St. Nicolaaslyceum - v.a. havo,Damstede - v.a. havo,Calandlyceum - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Fons Vitae Lyceum - vwo,Huygens College - v.a. vmbo-b,Cornelius Haga Lyceum - v.a. havo,Hervormd Lyceum West - v.a. vmbo-t,Bredero Mavo - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Barlaeus Gymnasium - vwo,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Berlage Lyceum - Tweetalig - v.a. havo,Calandlyceum - havo,DENISE - Denise Havo - v.a. havo,Lumion - Kansrijk VWO - havo/vwo,Calandlyceum - Technasium - havo/vwo,Berlage Lyceum - Tweetalig - vwo,College De Meer - v.a. vmbo-t,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Cartesius Lyceum - vwo,Gerrit van der Veen College - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Het 4e Gymnasium - vwo,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Kiem Montessori - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,IVKO - DAMU - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Hyperion Lyceum - vwo,IVKO - v.a. vmbo-t,Vinse School - v.a. vmbo-t,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Bredero Mavo - Tweetalig - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Fons Vitae Lyceum - vwo,Cartesius Lyceum - v.a. havo,CSB - Kansrijk VWO - havo/vwo,Hubertus & Berkhoff - v.a. vmbo-b,Ir. Lely Lyceum - v.a. vmbo-t,Pieter Nieuwland College - vwo,College De Meer - v.a. vmbo-b,Geert Groote College - v.a. havo,Mundus College - v.a. vmbo-b,Calvijn College - v.a. vmbo-b,Lumion - v.a. vmbo-t,Geert Groote College - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Barlaeus Gymnasium - vwo,Spinoza Lyceum - v.a. havo,Bindelmeer College - v.a. vmbo-b,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Vox College - vwo,Mediacollege Amsterdam - vmbo-k,Gerrit van der Veen College - vwo,Panta Rhei - Kansrijk Kader - vmbo-b/k,Montessori Lyceum Amsterdam - vwo,Damstede - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Het Amsterdams Lyceum - vwo,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Vox College - vwo,Comenius Lyceum Amsterdam - v.a. vmbo-t,Spinoza Lyceum - vwo,Cburg College - Kansrijk Kader - vmbo-b/k,Berlage Lyceum - Tweetalig - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Barlaeus Gymnasium - vwo,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,Calandlyceum - vmbo-t,IVKO - v.a. havo,Mundus College - vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,St. Nicolaaslyceum - vwo,Marcanti College - v.a. havo,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,De nieuwe Havo - v.a. havo,SvPO Amsterdam - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Barlaeus Gymnasium - vwo,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Montessori Lyceum Oostpoort - v.a. havo,SvPO Amsterdam - v.a. havo,Sweelinck College - v.a. vmbo-t,Metis Montessori Lyceum - Technasium vwo - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Het 4e Gymnasium - vwo,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Geert Groote College - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Calandlyceum - Kansrijk VWO - havo/vwo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,DENISE - Denise Havo - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Cartesius Lyceum - vwo,Marcanti College - v.a. havo,Marcanti College - v.a. vmbo-t,Calvijn College - v.a. vmbo-b,Havo de Hof - v.a. havo,Montessori Lyceum Oostpoort - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,St. Nicolaaslyceum - vwo,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Vox College - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,Calandlyceum - havo,De nieuwe Havo - v.a. havo,Wellantcollege Sloten - v.a. vmbo-b,Berlage Lyceum - Tweetalig - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Fons Vitae Lyceum - vwo,Gerrit van der Veen College - v.a. havo,Open Schoolgemeenschap Bijlmer - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Damstede - vwo,Mediacollege Amsterdam - v.a. vmbo-b,Ignatiusgymnasium - vwo,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,St. Nicolaaslyceum - v.a. havo,Havo de Hof - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Hyperion Lyceum - vwo,DENISE - Denise Havo - v.a. havo,Sweelinck College - v.a. vmbo-t,Hubertus & Berkhoff - v.a. vmbo-b,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Geert Groote College - vwo,Kiem Montessori - v.a. vmbo-t,Cburg College - v.a. vmbo-b,Mediacollege Amsterdam - Kansrijk Kader - vmbo-b/k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Het Amsterdams Lyceum - vwo,Bredero Beroepscollege - v.a. vmbo-b,Wellantcollege Linnaeus - v.a. vmbo-b,Mediacollege Amsterdam - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Barlaeus Gymnasium - vwo,Geert Groote College - Kansrijk VWO - havo/vwo,Montessori Lyceum Amsterdam - v.a. havo,Hervormd Lyceum West - Tweetalig - vwo,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,St. Nicolaaslyceum - vwo,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Bindelmeer College - Kansrijk Kader - vmbo-b/k,Montessori Lyceum Oostpoort - v.a. vmbo-b,Spinoza Lyceum - Muziekplus - v.a. havo,Marcanti College - v.a. vmbo-b,Vox College - vwo,DENISE - Denise TL - v.a. vmbo-t,Huygens College - v.a. vmbo-b,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,Spinoza Lyceum - vwo,Wellantcollege Sloten - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Mundus College - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Vossius Gymnasium - vwo,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Pieter Nieuwland College - v.a. havo,DENISE - Denise VWO - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Calandlyceum - LOOT - v.a. vmbo-t,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Damstede - vwo,Cburg College - v.a. vmbo-b,Lumion - Kansrijk VWO - havo/vwo,De nieuwe Havo - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Over-Y - Kansrijk HAVO - vmbo-t/havo,Hervormd Lyceum Zuid - vwo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Pieter Nieuwland College - v.a. havo,Mediacollege Amsterdam - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Fons Vitae Lyceum - vwo,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Calvijn College - Kansrijk Kader - vmbo-b/k,Amsterdams Beroepscollege Noorderlicht - vmbo-k,Over-Y - havo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Huygens College - Kansrijk Kader - vmbo-b/k,Hubertus & Berkhoff - v.a. vmbo-b,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,IJburg College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,St. Nicolaaslyceum - vwo,Bredero Mavo - v.a. vmbo-t,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Panta Rhei - v.a. vmbo-b,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,Calandlyceum - Technasium - vwo,IVKO - Kansrijk HAVO - vmbo-t/havo,College De Meer - v.a. vmbo-t,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,IVKO - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Xplore - v.a. vmbo-t,Panta Rhei - v.a. vmbo-b,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Hervormd Lyceum West - Tweetalig - vwo,Spring High - v.a. vmbo-t,Mundus College - vmbo-k,Gerrit van der Veen College - v.a. havo,Comenius Lyceum Amsterdam - vwo,Calandlyceum - havo/vwo,College De Meer - v.a. vmbo-t,Mediacollege Amsterdam - vmbo-t,Vox College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Montessori Lyceum Amsterdam - Gymnasium - vwo,Montessori Lyceum Amsterdam - v.a. havo,CSB - v.a. vmbo-t,Over-Y - havo,College De Meer - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Cornelius Haga Lyceum - v.a. vmbo-t,Comenius Lyceum Amsterdam - vwo,Marcanti College - vmbo-k,Ir. Lely Lyceum - v.a. vmbo-t,Mediacollege Amsterdam - v.a. vmbo-b,Comenius Lyceum Amsterdam - v.a. havo,DENISE - Denise VWO - vwo,Calvijn College - v.a. vmbo-b,Clusius College - v.a. vmbo-b,Hervormd Lyceum West - v.a. havo,Hervormd Lyceum Zuid - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Huygens College - v.a. vmbo-b,IJburg College - v.a. vmbo-t,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Hervormd Lyceum West - Tweetalig - v.a. havo,Geert Groote College - vwo,Panta Rhei - Kansrijk Kader - vmbo-b/k,Vossius Gymnasium - vwo,Marcanti College - v.a. vmbo-t,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,DENISE - Denise TL - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Lumion - vwo,Bredero Beroepscollege - v.a. vmbo-b,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,Vox College - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Calandlyceum - LOOT - v.a. vmbo-t,Gerrit van der Veen College - v.a. havo,Hubertus & Berkhoff - v.a. vmbo-t,Mundus College - vmbo-t,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Hervormd Lyceum Zuid - Universalis - vwo,CSB - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Fons Vitae Lyceum - vwo,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Bredero Mavo - Tweetalig - v.a. vmbo-t,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Metis Montessori Lyceum - Technasium vwo - vwo,IJburg College - v.a. vmbo-b,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Barlaeus Gymnasium - vwo,Vox College - Kansrijk VWO - havo/vwo,Hervormd Lyceum West - Tweetalig - vwo,Vox College - v.a. havo,Marcanti College - v.a. vmbo-b,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Wellantcollege Linnaeus - v.a. vmbo-b,Open Schoolgemeenschap Bijlmer - v.a. havo,Mundus College - v.a. vmbo-b,Huygens College - Kansrijk Kader - vmbo-b/k,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Fons Vitae Lyceum - vwo,College De Meer - v.a. vmbo-b,Vox College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Barlaeus Gymnasium - vwo,Open Schoolgemeenschap Bijlmer - vmbo-k,Lumion - v.a. vmbo-t,Cornelius Haga Lyceum - vwo,Wellantcollege Sloten - vmbo-t,Vox College - v.a. vmbo-t,College De Meer - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Hyperion Lyceum - vwo,Spinoza Lyceum - v.a. vmbo-t,Cornelius Haga Lyceum - vwo,Hubertus & Berkhoff - v.a. vmbo-b,Huygens College - Kansrijk Kader - vmbo-b/k,Marcanti College - vwo,De Amsterdamse MAVO - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Ignatiusgymnasium - vwo,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,St. Nicolaaslyceum - v.a. havo,SvPO Amsterdam - v.a. havo,Marcanti College - v.a. havo,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,IVKO - v.a. vmbo-t,Cartesius Lyceum - vwo,Over-Y - v.a. vmbo-t,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Het Amsterdams Lyceum - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Calandlyceum - vmbo-t/havo,Mundus College - v.a. vmbo-b,De nieuwe Havo - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Spinoza Lyceum - Gymnasium - vwo,Damstede - v.a. havo,Lumion - v.a. havo,Clusius College - Kansrijk Kader - vmbo-b/k,Montessori Lyceum Amsterdam - v.a. vmbo-t,Pieter Nieuwland College - v.a. havo,Bredero Beroepscollege - v.a. vmbo-b,CSB - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,St. Nicolaaslyceum - vwo,Cburg College - Kansrijk Kader - vmbo-b/k,Mediacollege Amsterdam - v.a. vmbo-b,Fons Vitae Lyceum - v.a. havo,IVKO - v.a. havo,Cygnus gymnasium - vwo,DENISE - Denise VWO - vwo,Over-Y - Kansrijk HAVO - vmbo-t/havo,IVKO - DAMU - v.a. vmbo-t,Het Amsterdams Lyceum - vwo,Lumion - vwo,Gerrit van der Veen College - kunst+klas  - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Het Amsterdams Lyceum - vwo,Marcanti College - v.a. vmbo-b,Hubertus & Berkhoff - v.a. vmbo-t,Panta Rhei - Kansrijk Kader - vmbo-b/k,Marcanti College - vwo,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Montessori Lyceum Amsterdam - vwo,Clusius College - Kansrijk Kader - vmbo-b/k,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Spinoza Lyceum - vwo,Calandlyceum - havo/vwo,Vox College - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Het 4e Gymnasium - vwo,Lumion - v.a. vmbo-t,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - v.a. vmbo-t,Hubertus & Berkhoff - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Het Amsterdams Lyceum - vwo,Calvijn College - Kansrijk Kader - vmbo-b/k,Mundus College - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Ignatiusgymnasium - vwo,Calandlyceum - vmbo-t/havo,Over-Y - Kansrijk HAVO - vmbo-t/havo,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Amsterdam - v.a. vmbo-t,Cygnus gymnasium - vwo,CSB - Kansrijk HAVO - vmbo-t/havo,Gerrit van der Veen College - kunst+klas  - v.a. havo,Spinoza Lyceum - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,Berlage Lyceum - Kansrijk VWO - Tweetalig - havo/vwo,Comenius Lyceum Amsterdam - v.a. vmbo-t,Calandlyceum - Kansrijk VWO - havo/vwo,Pieter Nieuwland College - plus - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Metis Montessori Lyceum - Technasium vwo - vwo,Hervormd Lyceum Zuid - v.a. havo,Pieter Nieuwland College - vwo,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Huygens College - Kansrijk Kader - vmbo-b/k,De nieuwe Havo - v.a. havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Open Schoolgemeenschap Bijlmer - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Montessori Lyceum Amsterdam - Gymnasium - vwo,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Geert Groote College - vwo,DENISE - Denise TL - v.a. vmbo-t,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,CSB - Kansrijk VWO - havo/vwo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Hervormd Lyceum West - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Fons Vitae Lyceum - vwo,Calvijn College - Kansrijk Kader - vmbo-b/k,Kiem Montessori - v.a. vmbo-t,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,College De Meer - v.a. vmbo-b,Lumion - Kansrijk HAVO - vmbo-t/havo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,Calandlyceum - vwo,Sweelinck College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,IJburg College - v.a. vmbo-t,Calandlyceum - havo,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,Calandlyceum - Kansrijk VWO - havo/vwo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Pieter Nieuwland College - plus - vwo,Calandlyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Cartesius Lyceum - vwo,Lumion - Kansrijk HAVO - vmbo-t/havo,Lumion - Kansrijk VWO - havo/vwo,Huygens College - Kansrijk Kader - vmbo-b/k,Geert Groote College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Alasca - vwo,Hervormd Lyceum Zuid - Universalis - vwo,Bindelmeer College - Kansrijk Kader - vmbo-b/k,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,Spinoza20first - v.a. vmbo-t,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Montessori Lyceum Oostpoort - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Metis Montessori Lyceum - Technasium vwo - vwo,CSB - Kansrijk VWO - havo/vwo,Kiem Montessori - v.a. vmbo-t,Hervormd Lyceum West - Tweetalig - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,Hubertus & Berkhoff - v.a. vmbo-t,Lumion - vwo,Open Schoolgemeenschap Bijlmer - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Cygnus gymnasium - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Barlaeus Gymnasium - vwo,Hubertus & Berkhoff - v.a. vmbo-b,Pieter Nieuwland College - v.a. havo,Vox College - v.a. havo,Calandlyceum - havo/vwo,Hervormd Lyceum West - v.a. havo,IVKO - DAMU - v.a. vmbo-t,Comenius Lyceum Amsterdam - v.a. vmbo-t,Het Amsterdams Lyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Vossius Gymnasium - vwo,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Vox College - Kansrijk HAVO - vmbo-t/havo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Alasca - vwo,Calandlyceum - vmbo-t,Hervormd Lyceum West - Tweetalig - vwo,Huygens College - Kansrijk Kader - vmbo-b/k,Spinoza Lyceum - Gymnasium - vwo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Montessori Lyceum Amsterdam - vwo,Marcanti College - v.a. vmbo-t,Geert Groote College - Kansrijk VWO - havo/vwo,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,Spinoza Lyceum - Muziekplus - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vwo,Fons Vitae Lyceum - vwo,Comenius Lyceum Amsterdam - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Alasca - v.a. havo,Bredero Beroepscollege - v.a. vmbo-b,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Calandlyceum - Technasium - havo/vwo,Marcanti College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
